,State,Year,Household_Size,Income_Level
0,AL,2016,1,11880
1,AL,2016,2,16020
2,AL,2016,3,20160
3,AL,2016,4,24300
4,AL,2016,5,28440
5,AL,2016,6,32580
6,AL,2016,7,36730
7,AL,2016,8,40890
8,AL,2017,1,12060
9,AL,2017,2,16240
10,AL,2017,3,20420
11,AL,2017,4,24600
12,AL,2017,5,28780
13,AL,2017,6,32960
14,AL,2017,7,37140
15,AL,2017,8,41320
16,AL,2018,1,12140
17,AL,2018,2,16460
18,AL,2018,3,20780
19,AL,2018,4,25100
20,AL,2018,5,29420
21,AL,2018,6,33740
22,AL,2018,7,38060
23,AL,2018,8,42380
24,AL,2019,1,12490
25,AL,2019,2,16910
26,AL,2019,3,21330
27,AL,2019,4,25750
28,AL,2019,5,30170
29,AL,2019,6,34590
30,AL,2019,7,39010
31,AL,2019,8,43430
32,AL,2020,1,12760
33,AL,2020,2,17240
34,AL,2020,3,21720
35,AL,2020,4,26200
36,AL,2020,5,30680
37,AL,2020,6,35160
38,AL,2020,7,39640
39,AL,2020,8,44120
40,AK,2016,1,14840
41,AK,2016,2,20020
42,AK,2016,3,25200
43,AK,2016,4,30380
44,AK,2016,5,35560
45,AK,2016,6,40720
46,AK,2016,7,45920
47,AK,2016,8,51120
48,AK,2017,1,15060
49,AK,2017,2,20290
50,AK,2017,3,25520
51,AK,2017,4,30750
52,AK,2017,5,35980
53,AK,2017,6,41210
54,AK,2017,7,46440
55,AK,2017,8,51670
56,AK,2018,1,15180
57,AK,2018,2,20580
58,AK,2018,3,25980
59,AK,2018,4,31380
60,AK,2018,5,36780
61,AK,2018,6,42180
62,AK,2018,7,47580
63,AK,2018,8,52980
64,AK,2019,1,15600
65,AK,2019,2,21130
66,AK,2019,3,26660
67,AK,2019,4,32190
68,AK,2019,5,37720
69,AK,2019,6,43250
70,AK,2019,7,48780
71,AK,2019,8,54310
72,AK,2020,1,15950
73,AK,2020,2,21550
74,AK,2020,3,27150
75,AK,2020,4,32750
76,AK,2020,5,38350
77,AK,2020,6,43950
78,AK,2020,7,49550
79,AK,2020,8,55150
80,AZ,2016,1,11880
81,AZ,2016,2,16020
82,AZ,2016,3,20160
83,AZ,2016,4,24300
84,AZ,2016,5,28440
85,AZ,2016,6,32580
86,AZ,2016,7,36730
87,AZ,2016,8,40890
88,AZ,2017,1,12060
89,AZ,2017,2,16240
90,AZ,2017,3,20420
91,AZ,2017,4,24600
92,AZ,2017,5,28780
93,AZ,2017,6,32960
94,AZ,2017,7,37140
95,AZ,2017,8,41320
96,AZ,2018,1,12140
97,AZ,2018,2,16460
98,AZ,2018,3,20780
99,AZ,2018,4,25100
100,AZ,2018,5,29420
101,AZ,2018,6,33740
102,AZ,2018,7,38060
103,AZ,2018,8,42380
104,AZ,2019,1,12490
105,AZ,2019,2,16910
106,AZ,2019,3,21330
107,AZ,2019,4,25750
108,AZ,2019,5,30170
109,AZ,2019,6,34590
110,AZ,2019,7,39010
111,AZ,2019,8,43430
112,AZ,2020,1,12760
113,AZ,2020,2,17240
114,AZ,2020,3,21720
115,AZ,2020,4,26200
116,AZ,2020,5,30680
117,AZ,2020,6,35160
118,AZ,2020,7,39640
119,AZ,2020,8,44120
120,AR,2016,1,11880
121,AR,2016,2,16020
122,AR,2016,3,20160
123,AR,2016,4,24300
124,AR,2016,5,28440
125,AR,2016,6,32580
126,AR,2016,7,36730
127,AR,2016,8,40890
128,AR,2017,1,12060
129,AR,2017,2,16240
130,AR,2017,3,20420
131,AR,2017,4,24600
132,AR,2017,5,28780
133,AR,2017,6,32960
134,AR,2017,7,37140
135,AR,2017,8,41320
136,AR,2018,1,12140
137,AR,2018,2,16460
138,AR,2018,3,20780
139,AR,2018,4,25100
140,AR,2018,5,29420
141,AR,2018,6,33740
142,AR,2018,7,38060
143,AR,2018,8,42380
144,AR,2019,1,12490
145,AR,2019,2,16910
146,AR,2019,3,21330
147,AR,2019,4,25750
148,AR,2019,5,30170
149,AR,2019,6,34590
150,AR,2019,7,39010
151,AR,2019,8,43430
152,AR,2020,1,12760
153,AR,2020,2,17240
154,AR,2020,3,21720
155,AR,2020,4,26200
156,AR,2020,5,30680
157,AR,2020,6,35160
158,AR,2020,7,39640
159,AR,2020,8,44120
160,CA,2016,1,11880
161,CA,2016,2,16020
162,CA,2016,3,20160
163,CA,2016,4,24300
164,CA,2016,5,28440
165,CA,2016,6,32580
166,CA,2016,7,36730
167,CA,2016,8,40890
168,CA,2017,1,12060
169,CA,2017,2,16240
170,CA,2017,3,20420
171,CA,2017,4,24600
172,CA,2017,5,28780
173,CA,2017,6,32960
174,CA,2017,7,37140
175,CA,2017,8,41320
176,CA,2018,1,12140
177,CA,2018,2,16460
178,CA,2018,3,20780
179,CA,2018,4,25100
180,CA,2018,5,29420
181,CA,2018,6,33740
182,CA,2018,7,38060
183,CA,2018,8,42380
184,CA,2019,1,12490
185,CA,2019,2,16910
186,CA,2019,3,21330
187,CA,2019,4,25750
188,CA,2019,5,30170
189,CA,2019,6,34590
190,CA,2019,7,39010
191,CA,2019,8,43430
192,CA,2020,1,12760
193,CA,2020,2,17240
194,CA,2020,3,21720
195,CA,2020,4,26200
196,CA,2020,5,30680
197,CA,2020,6,35160
198,CA,2020,7,39640
199,CA,2020,8,44120
200,CO,2016,1,11880
201,CO,2016,2,16020
202,CO,2016,3,20160
203,CO,2016,4,24300
204,CO,2016,5,28440
205,CO,2016,6,32580
206,CO,2016,7,36730
207,CO,2016,8,40890
208,CO,2017,1,12060
209,CO,2017,2,16240
210,CO,2017,3,20420
211,CO,2017,4,24600
212,CO,2017,5,28780
213,CO,2017,6,32960
214,CO,2017,7,37140
215,CO,2017,8,41320
216,CO,2018,1,12140
217,CO,2018,2,16460
218,CO,2018,3,20780
219,CO,2018,4,25100
220,CO,2018,5,29420
221,CO,2018,6,33740
222,CO,2018,7,38060
223,CO,2018,8,42380
224,CO,2019,1,12490
225,CO,2019,2,16910
226,CO,2019,3,21330
227,CO,2019,4,25750
228,CO,2019,5,30170
229,CO,2019,6,34590
230,CO,2019,7,39010
231,CO,2019,8,43430
232,CO,2020,1,12760
233,CO,2020,2,17240
234,CO,2020,3,21720
235,CO,2020,4,26200
236,CO,2020,5,30680
237,CO,2020,6,35160
238,CO,2020,7,39640
239,CO,2020,8,44120
240,CT,2016,1,11880
241,CT,2016,2,16020
242,CT,2016,3,20160
243,CT,2016,4,24300
244,CT,2016,5,28440
245,CT,2016,6,32580
246,CT,2016,7,36730
247,CT,2016,8,40890
248,CT,2017,1,12060
249,CT,2017,2,16240
250,CT,2017,3,20420
251,CT,2017,4,24600
252,CT,2017,5,28780
253,CT,2017,6,32960
254,CT,2017,7,37140
255,CT,2017,8,41320
256,CT,2018,1,12140
257,CT,2018,2,16460
258,CT,2018,3,20780
259,CT,2018,4,25100
260,CT,2018,5,29420
261,CT,2018,6,33740
262,CT,2018,7,38060
263,CT,2018,8,42380
264,CT,2019,1,12490
265,CT,2019,2,16910
266,CT,2019,3,21330
267,CT,2019,4,25750
268,CT,2019,5,30170
269,CT,2019,6,34590
270,CT,2019,7,39010
271,CT,2019,8,43430
272,CT,2020,1,12760
273,CT,2020,2,17240
274,CT,2020,3,21720
275,CT,2020,4,26200
276,CT,2020,5,30680
277,CT,2020,6,35160
278,CT,2020,7,39640
279,CT,2020,8,44120
280,DE,2016,1,11880
281,DE,2016,2,16020
282,DE,2016,3,20160
283,DE,2016,4,24300
284,DE,2016,5,28440
285,DE,2016,6,32580
286,DE,2016,7,36730
287,DE,2016,8,40890
288,DE,2017,1,12060
289,DE,2017,2,16240
290,DE,2017,3,20420
291,DE,2017,4,24600
292,DE,2017,5,28780
293,DE,2017,6,32960
294,DE,2017,7,37140
295,DE,2017,8,41320
296,DE,2018,1,12140
297,DE,2018,2,16460
298,DE,2018,3,20780
299,DE,2018,4,25100
300,DE,2018,5,29420
301,DE,2018,6,33740
302,DE,2018,7,38060
303,DE,2018,8,42380
304,DE,2019,1,12490
305,DE,2019,2,16910
306,DE,2019,3,21330
307,DE,2019,4,25750
308,DE,2019,5,30170
309,DE,2019,6,34590
310,DE,2019,7,39010
311,DE,2019,8,43430
312,DE,2020,1,12760
313,DE,2020,2,17240
314,DE,2020,3,21720
315,DE,2020,4,26200
316,DE,2020,5,30680
317,DE,2020,6,35160
318,DE,2020,7,39640
319,DE,2020,8,44120
320,FL,2016,1,11880
321,FL,2016,2,16020
322,FL,2016,3,20160
323,FL,2016,4,24300
324,FL,2016,5,28440
325,FL,2016,6,32580
326,FL,2016,7,36730
327,FL,2016,8,40890
328,FL,2017,1,12060
329,FL,2017,2,16240
330,FL,2017,3,20420
331,FL,2017,4,24600
332,FL,2017,5,28780
333,FL,2017,6,32960
334,FL,2017,7,37140
335,FL,2017,8,41320
336,FL,2018,1,12140
337,FL,2018,2,16460
338,FL,2018,3,20780
339,FL,2018,4,25100
340,FL,2018,5,29420
341,FL,2018,6,33740
342,FL,2018,7,38060
343,FL,2018,8,42380
344,FL,2019,1,12490
345,FL,2019,2,16910
346,FL,2019,3,21330
347,FL,2019,4,25750
348,FL,2019,5,30170
349,FL,2019,6,34590
350,FL,2019,7,39010
351,FL,2019,8,43430
352,FL,2020,1,12760
353,FL,2020,2,17240
354,FL,2020,3,21720
355,FL,2020,4,26200
356,FL,2020,5,30680
357,FL,2020,6,35160
358,FL,2020,7,39640
359,FL,2020,8,44120
360,GA,2016,1,11880
361,GA,2016,2,16020
362,GA,2016,3,20160
363,GA,2016,4,24300
364,GA,2016,5,28440
365,GA,2016,6,32580
366,GA,2016,7,36730
367,GA,2016,8,40890
368,GA,2017,1,12060
369,GA,2017,2,16240
370,GA,2017,3,20420
371,GA,2017,4,24600
372,GA,2017,5,28780
373,GA,2017,6,32960
374,GA,2017,7,37140
375,GA,2017,8,41320
376,GA,2018,1,12140
377,GA,2018,2,16460
378,GA,2018,3,20780
379,GA,2018,4,25100
380,GA,2018,5,29420
381,GA,2018,6,33740
382,GA,2018,7,38060
383,GA,2018,8,42380
384,GA,2019,1,12490
385,GA,2019,2,16910
386,GA,2019,3,21330
387,GA,2019,4,25750
388,GA,2019,5,30170
389,GA,2019,6,34590
390,GA,2019,7,39010
391,GA,2019,8,43430
392,GA,2020,1,12760
393,GA,2020,2,17240
394,GA,2020,3,21720
395,GA,2020,4,26200
396,GA,2020,5,30680
397,GA,2020,6,35160
398,GA,2020,7,39640
399,GA,2020,8,44120
400,HI,2016,1,13670
401,HI,2016,2,18430
402,HI,2016,3,23190
403,HI,2016,4,27950
404,HI,2016,5,32710
405,HI,2016,6,37470
406,HI,2016,7,42230
407,HI,2016,8,47010
408,HI,2017,1,13860
409,HI,2017,2,18670
410,HI,2017,3,23480
411,HI,2017,4,28290
412,HI,2017,5,33100
413,HI,2017,6,37910
414,HI,2017,7,42720
415,HI,2017,8,47530
416,HI,2018,1,13960
417,HI,2018,2,18930
418,HI,2018,3,23900
419,HI,2018,4,28870
420,HI,2018,5,33840
421,HI,2018,6,38810
